Date,Day,Open for Day,High for Day,Low  for Day,Close for Day, %Chg for Day,Volume (thous) for Day
2004-11-15,Mo,       1259.30,       1259.30,       1216.29,       1247.81,-778,            na
2004-11-12,Fr,       1281.25,       1300.81,       1255.41,       1257.60,-2076,            na
2004-11-11,Th,       1297.65,       1304.24,       1276.03,       1284.26,-1000,            na
2004-11-10,We,       1286.19,       1303.33,       1284.61,       1297.23,858,            na
2004-11-09,Tu,       1293.90,       1297.11,       1271.55,       1286.19,-830,            na
2004-11-08,Mo,       1325.51,       1339.64,       1293.39,       1296.96,-2129,            na
2004-11-05,Fr,       1302.90,       1334.09,       1302.90,       1325.17,1709,            na
2004-11-04,Th,       1292.48,       1303.61,       1271.82,       1302.90,1045,            na
2004-11-03,We,       1306.03,       1314.11,       1284.38,       1289.42,-808,            na
2004-11-02,Tu,       1314.74,       1324.41,       1297.73,       1299.92,-1109,            na
2004-11-01,Mo,       1287.73,       1324.37,       1287.73,       1314.50,2126,            na
2004-10-29,Fr,       1281.72,       1288.40,       1268.19,       1287.14,497,            na
2004-10-28,Th,       1283.54,       1309.30,       1274.47,       1280.77,-413,            na
2004-10-27,We,       1226.88,       1286.08,       1226.88,       1286.08,4956,            na
2004-10-26,Tu,       1208.55,       1227.06,       1201.68,       1225.35,1313,            na
2004-10-25,Mo,       1204.88,       1211.30,       1183.65,       1209.47,416,            na
2004-10-22,Fr,       1234.78,       1242.93,       1200.34,       1204.46,-2438,            na
2004-10-21,Th,       1219.61,       1245.14,       1219.61,       1234.56,1590,            na
2004-10-20,We,       1214.05,       1219.34,       1195.71,       1215.24,-15,            na
2004-10-19,Tu,       1243.95,       1256.98,       1210.87,       1215.42,-2293,            na
2004-10-18,Mo,       1229.04,       1262.39,       1229.04,       1243.95,1229,            na
2004-10-15,Fr,       1191.12,       1233.78,       1187.34,       1228.85,3035,            na
2004-10-14,Th,       1166.01,       1200.23,       1166.01,       1192.65,2315,            na
2004-10-13,We,       1138.68,       1165.66,       1136.51,       1165.66,2425,            na
2004-10-12,Tu,       1127.80,       1138.90,       1113.31,       1138.06,826,            na
2004-10-11,Mo,            na,            na,            na,            na,            na,            na
2004-10-08,Fr,       1141.14,       1142.92,       1122.04,       1128.74,-1010,            na
2004-10-07,Th,       1136.58,       1148.21,       1128.00,       1140.26,1087,            na
2004-10-06,We,       1134.90,       1136.53,       1122.19,       1128.00,-649,            na
2004-10-05,Tu,       1167.48,       1171.15,       1126.40,       1135.37,-2718,            na
2004-10-04,Mo,       1162.62,       1175.21,       1156.54,       1167.09,601,            na
2004-10-01,Fr,       1144.37,       1166.24,       1144.37,       1160.12,1542,            na
2004-09-30,Th,       1147.74,       1157.75,       1137.24,       1142.50,-403,            na
2004-09-29,We,       1132.36,       1151.17,       1129.51,       1147.12,1303,            na
2004-09-28,Tu,       1114.18,       1140.01,       1114.18,       1132.36,1742,            na
2004-09-27,Mo,       1098.98,       1114.43,       1094.50,       1112.97,1273,            na
2004-09-24,Fr,       1101.71,       1113.80,       1096.27,       1098.98,-193,            na
2004-09-23,Th,       1084.73,       1107.91,       1083.36,       1101.11,1409,            na
2004-09-22,We,       1089.40,       1097.58,       1080.70,       1085.81,-302,            na
2004-09-21,Tu,       1066.75,       1089.10,       1059.21,       1089.10,2095,            na
2004-09-20,Mo,       1057.28,       1073.60,       1057.28,       1066.75,932,            na
2004-09-17,Fr,       1045.44,       1062.37,       1041.62,       1056.90,1112,            na
2004-09-16,Th,       1028.09,       1045.28,       1028.09,       1045.28,1838,            na
2004-09-15,We,       1037.31,       1048.13,       1025.76,       1026.41,-1108,            na
2004-09-14,Tu,       1025.91,       1040.82,       1021.92,       1037.91,1221,            na
2004-09-13,Mo,       1003.10,       1028.67,       1003.10,       1025.39,2278,            na
2004-09-10,Fr,995980,       1004.36,995980,       1002.55,705,            na
2004-09-09,Th,985410,       1001.18,985410,995530,891,            na
2004-09-08,We,988550,990810,979720,986740,-183,            na
2004-09-07,Tu,997830,       1006.08,987280,988550,-930,            na
2004-09-06,Mo,986860,998110,986480,997830,1143,            na
2004-09-03,Fr,976540,987000,974100,986550,1057,            na
2004-09-02,Th,963590,976230,963590,976230,1410,            na
2004-09-01,We,951010,962660,948980,962660,1105,            na
2004-08-31,Tu,963070,965960,950870,952140,-1089,            na
2004-08-30,Mo,950550,966380,950550,962620,1270,            na
2004-08-27,Fr,940200,952230,940200,950550,1101,            na
2004-08-26,Th,942170,942170,933640,940200,-194,            na
2004-08-25,We,940330,942110,924110,942030,214,            na
2004-08-24,Tu,936550,945870,936240,940020,379,            na
2004-08-23,Mo,937260,941610,934580,936470,-84,            na
2004-08-20,Fr,944700,944700,935760,937260,-788,            na
2004-08-19,Th,952780,957730,943210,944700,-848,            na
2004-08-18,We,938190,952780,938190,952780,1572,            na
2004-08-17,Tu,934180,939720,926940,938030,428,            na
2004-08-16,Mo,            na,            na,            na,            na,            na,            na
2004-08-13,Fr,954870,954870,932470,934030,-2182,            na
2004-08-12,Th,957020,961150,949690,954870,-225,            na
2004-08-11,We,965120,966540,954380,957020,-1095,            na
2004-08-10,Tu,962720,968640,958460,967620,407,            na
2004-08-09,Mo,964400,967740,955810,963700,-43,            na
2004-08-06,Fr,974240,984280,960600,964110,-992,            na
2004-08-05,Th,983950,994900,973650,973770,-1020,            na
2004-08-04,We,967880,984470,967880,983800,1518,            na
2004-08-03,Tu,962880,969090,956880,969090,694,            na
2004-08-02,Mo,963440,965750,955040,962410,-382,            na
2004-07-30,Fr,954930,968200,954240,966100,1170,            na
2004-07-29,Th,949150,959750,946360,954930,609,            na
2004-07-28,We,939920,949150,934130,949150,982,            na
2004-07-27,Tu,954290,963060,927790,939920,-1386,            na
2004-07-26,Mo,975420,975570,952720,953130,-2285,            na
2004-07-23,Fr,977890,977890,967550,975420,-388,            na
2004-07-22,Th,980830,981160,971430,979220,-274,            na
2004-07-21,We,991410,994670,981570,981910,-753,            na
2004-07-20,Tu,953660,989360,953660,989360,3743,            na
2004-07-19,Mo,961610,961760,950380,953660,-827,            na
2004-07-16,Fr,962810,975040,950090,961610,-94,            na
2004-07-15,Th,975620,980290,955830,962510,-1013,            na
2004-07-14,We,949900,982050,947480,972360,2293,            na
2004-07-13,Tu,986390,986690,948200,950560,-3647,            na
2004-07-12,Mo,985800,991510,979850,986540,101,            na
2004-07-09,Fr,            na,            na,            na,            na,            na,            na
2004-07-08,Th,969350,986590,967530,985540,1607,            na
2004-07-07,We,970320,978380,963550,969950,3,            na
2004-07-06,Tu,977260,983890,968800,969920,-1022,            na
2004-07-05,Mo,967680,979930,967680,979930,1266,            na
2004-07-02,Fr,951480,970330,951480,967680,1735,            na
2004-07-01,Th,945890,963050,941030,951180,606,            na
2004-06-30,We,935580,947500,932620,945450,1281,            na
2004-06-29,Tu,922600,935690,918750,933490,1180,            na
2004-06-28,Mo,931760,938310,920040,922600,-983,            na
2004-06-25,Fr,939980,940690,915320,931760,-735,            na
2004-06-24,Th,960850,960850,937600,938660,-2309,            na
2004-06-23,We,955190,967920,950960,960850,609,            na
2004-06-22,Tu,950670,959060,941750,955030,406,            na
2004-06-21,Mo,            na,            na,            na,            na,            na,            na
2004-06-18,Fr,910350,951260,908230,951170,4560,            na
2004-06-17,Th,909300,927940,901650,909690,43,            na
2004-06-16,We,886740,913980,883360,909300,2544,            na
2004-06-15,Tu,855240,886740,853330,886740,3710,            na
2004-06-14,Mo,885410,885410,854240,855020,-3432,            na
2004-06-11,Fr,884450,893670,881090,885410,52,            na
2004-06-10,Th,904220,906020,880730,884950,-2131,            na
2004-06-09,We,931460,931460,902480,904220,-3079,            na
2004-06-08,Tu,932840,940660,930500,932950,-118,            na
2004-06-07,Mo,928680,937920,920040,934050,578,            na
2004-06-04,Fr,952700,955840,918430,928680,-2470,            na
2004-06-03,Th,975280,978420,949940,952200,-2575,            na
2004-06-02,We,975950,982780,960380,977370,179,            na
2004-06-01,Tu,954500,975620,954500,975620,2414,            na
2004-05-31,Mo,970420,978660,945600,952620,-1834,            na
2004-05-28,Fr,957780,979630,955660,970420,1384,            na
2004-05-27,Th,943330,957170,940390,957170,1581,            na
